kind,key,name,team,fotmob_id,file,status
face,3870,Kylian Mbappé,France,701154,outputs/assets/faces/3870.png,ok
face,9993,Kalidou Koulibaly,Senegal,210428,outputs/assets/faces/9993.png,ok
face,4892,Josko Gvardiol,Croatia,1070712,outputs/assets/faces/4892.png,ok
face,233,Romain Saïss,Morocco,292678,outputs/assets/faces/233.png,ok
face,8062,Aaron Ramsey,Wales,1113670,outputs/assets/faces/8062.png,ok
face,1380,Thomas Partey,Ghana,434325,outputs/assets/faces/1380.png,ok
face,13922,Woo-young Jung,South Korea,302338,outputs/assets/faces/13922.png,ok
face,13850,Grzegorz Krychowiak,Poland,154232,outputs/assets/faces/13850.png,ok
face,8023,Lisandro Martinez,Argentina,847983,outputs/assets/faces/8023.png,ok
face,2059,Edouard Mendy,Senegal,773229,outputs/assets/faces/2059.png,ok
face,284,Nathan Aké,Netherlands,417068,outputs/assets/faces/284.png,ok
face,1531,Lionel Messi,Argentina,30981,outputs/assets/faces/1531.png,ok
face,9824,Montassar Talbi,Tunisia,846392,outputs/assets/faces/9824.png,ok
face,213,Daniel Amartey,Ghana,436036,outputs/assets/faces/213.png,ok
face,13961,Akram Afif,Qatar,613792,outputs/assets/faces/13961.png,ok
face,21,Phil Foden,England,815006,outputs/assets/faces/21.png,ok
face,13946,Pedro Miguel,Qatar,734637,outputs/assets/faces/13946.png,ok
face,1519,Sergio Busquets,Spain,154257,outputs/assets/faces/1519.png,ok
face,13987,Mohammed Al-Owais,Saudi Arabia,535669,outputs/assets/faces/13987.png,ok
face,18,Rodri,Spain,675088,outputs/assets/faces/18.png,ok
face,435,Mathew Ryan,Australia,185644,outputs/assets/faces/435.png,ok
face,13815,Mathew Leckie,Australia,185014,outputs/assets/faces/13815.png,ok
face,1363,Inaki Williams,Ghana,604105,outputs/assets/faces/1363.png,ok
face,22,Kevin De Bruyne,Belgium,169200,outputs/assets/faces/22.png,ok
face,1672,Thibaut Courtois,Belgium,170323,outputs/assets/faces/1672.png,ok
face,4691,Yann Sommer,Switzerland,41618,outputs/assets/faces/4691.png,ok
face,12576,Nikola Milenkovic,Serbia,766611,outputs/assets/faces/12576.png,ok
face,4611,Alphonso Davies,Canada,751202,outputs/assets/faces/4611.png,ok
face,13994,Saud Abdulhamid,Saudi Arabia,1002617,outputs/assets/faces/13994.png,ok
face,1522,Frenkie de Jong,Netherlands,638622,outputs/assets/faces/1522.png,ok
face,12653,Vanja Milinković-Savić,Serbia,543021,outputs/assets/faces/12653.png,ok
face,3930,Lucas Paquetá,Brazil,766435,outputs/assets/faces/3930.png,ok
face,401,Sofiane Boufal,Morocco,365672,outputs/assets/faces/401.png,ok
face,13937,Angelo Preciado,Ecuador,848593,outputs/assets/faces/13937.png,ok
face,1960,Timothy Castagne,Belgium,465750,outputs/assets/faces/1960.png,ok
face,4621,Jamal Musiala,Germany,1156141,outputs/assets/faces/4621.png,ok
face,2443,Moon-hwan Kim,South Korea,460632,outputs/assets/faces/2443.png,ok
face,4883,Andrej Kramaric,Croatia,173461,outputs/assets/faces/4883.png,ok
face,13044,Jawad El Yamiq,Morocco,798736,outputs/assets/faces/13044.png,ok
face,3301,Héctor Moreno,Mexico,70812,outputs/assets/faces/3301.png,ok
face,12586,Sofyan Amrabat,Morocco,593116,outputs/assets/faces/12586.png,ok
face,1393,Joao Felix,Portugal,794427,outputs/assets/faces/1393.png,ok
face,13824,Kye Rowles,Australia,825231,outputs/assets/faces/13824.png,ok
face,2094,Junya Ito,Japan,604044,outputs/assets/faces/2094.png,ok
face,8538,Diogo Costa,Portugal,795630,outputs/assets/faces/8538.png,ok
